group,Column1,alignments,comments,distance,original,phone similarity,suggested alignments,index,Target,Transcript,phn_correct_original,insert_count_original,delete_count_original,sub_count_original,total_phns_original,if_first_vowel_missing_original,phn_correct_participant,insert_count_participant,delete_count_participant,sub_count_participant,total_phns_participant,if_first_vowel_missing_participant
10,b e l w ? ? ð ? s k l æ m p æ n d b ? t ? l,WAS MISSING,"Hard to align this one, participant was way off but I took a stab at it.",4,b æ l æ n s k l æ m p æ n d b ? t ? l,"[0.0, 0.0, 0.0, 0.0, 109.0, 5.0, 0.0, 79.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","('b', 'b'), ('æ', 'e'), ('l', 'l'), ('w', '-') ('æ', '?'),  ('-', '?'), ('n', '-'), ('-', 'ð'), ('-', '?'), ('s', 's'), ('k', 'k'), ('l', 'l'), ('æ', 'æ'), ('m', 'm'), ('æ', 'æ'), ('d', 'd'), ('b', 'b'), ('?', '?'), ('t', 't'), ('?', '?'), ('l', 'l')",80,balance clamp and bottle,bell with this clamp and bottle,,,,,,,,,,,,
11,b ? s ? ? d j u s ? m k ? m b æ t,"[('b', 'b'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'd'), ('-', 'z'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', '-'), ('k', 'k'), ('?', '?'), ('n', 'n'), ('-', 'd'), ('b', 'b'), ('æ', 'o'), ('t', 't')]",Transcription was shifted,5,b ? s ? ? d ? s ? ? k ? n b æ t,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 81.5, 0.0, 0.0, 0.0, 99.0, 0.0, 0.0, 0.0, 89.0, 0.0, 0.0, 0.0]","[('b', 'b'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'd'), ('-', 'j'), ('?', 'u'), ('s', 's'), ('?', '?'), ('?', 'm'), ('k', 'k'), ('?', '?'), ('n', 'm'), ('b', 'b'), ('æ', 'æ'), ('t', 't')]",88,beside a sunken bat,beside you some combat,13,2,1,2,16,0,12,1,0,4,16,0
12,b ? s ? ? d z ? s ? m ? ? ? ð æ t,"[('b', 'b'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'd'), ('-', 'z'), ('?', '?'), ('s', 's'), ('?', '?'), ('-', 'm'), ('-', '?'), ('-', '?'), ('?', '?'), ('k', '-'), ('?', '-'), ('n', '-'), ('b', 'ð'), ('æ', 'æ'), ('t', 't')]",I don't disagree with the original alignment but this also makes more sense to me.,8,b ? s ? ? d ? s ? ? k ? n b æ t,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 81.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.0, 75.0, 109.0, 89.0, 95.0, 75.0, 0.0]","[('b', 'b'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'd'), ('-', 'z'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', 'm'), ('-', '?'), ('-', '?'), ('k', '-'), ('?', '-'), ('n', '?'), ('b', 'ð'), ('æ', 'æ'), ('t', 't')]",96,beside a sunken bat,besides a something that,12,4,3,1,16,0,11,3,2,3,16,0
13,b ? s ? ? d ? s ? ? k ? n b i æ t b æ t,"[('b', 'b'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'd'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('k', 'k'), ('?', '?'), ('n', 'n'), ('b', 'b'), ('æ', 'iæ'), ('t', 't'), ('-', 'b'), ('-', 'æ'), ('-', 't')]",Had a hard time with this one.,6,b ? s ? ? d ? s ? ? k ? n b æ t,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 81.5, 83.5, 0.0, 0.0, 0.0, 99.0, 0.0, 0.0, 109.0, 84.0, 0.0, 0.0, 0.0]","[('b', 'b'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'd'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('k', 'k'), ('?', '?'), ('n', 'n'), ('-', 'b'), ('-', 'i'), ('æ', '-'), ('t', '-'), ('b', 'b'), ('æ', 'æ'), ('t', 't')]",104,beside a sunken bat,besides a sunken bee at bat,15,3,0,1,16,0,16,2,2,0,18,0
14,p ? ? ? z k ? n t r o l z æ f t ? r,"[('b', 'p'), ('?', '?'), ('?', '?'), ('?', '?'), ('z', 'z'), ('-', 'k'), ('-', '?'), ('-', 'n'), ('t?', 't'), ('-', 'r'), ('o', 'o'), ('-', 'l'), ('z', 'z'), ('?', 'æ'), ('n', '-'), ('æ', '-'), ('f', 'f'), ('t', 't'), ('?', '?'), ('r', 'r')]",Makes sense to align both /æ/,7,b ? ? ? z t? o z ? n æ f t ? r,"[5.0, 0.0, 0.0, 0.0, 0.0, 75.0, 80.0, 0.0, 84.0, 6.500000000000002, 0.0, 0.0, 89.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('b', 'p'), ('?', '?'), ('?', '?'), ('?', '?'), ('z', 'z'), ('-', 'k'), ('-', '?'), ('-', 'n'), ('t?', 't'), ('-', 'r'), ('o', 'o'), ('-', 'l'), ('z', 'z'), ('?', '-'), ('n', '-'), ('æ', 'æ'), ('f', 'f'), ('t', 't'), ('?', '?'), ('r', 'r')]",112,bush is chosen after,pushes controls after,10,5,3,3,16,0,11,5,3,2,16,0
15,k i p r i f ? l ? ð ? p e p ? r,"[('t?', 'k'), ('i', 'i'), ('p', 'p'), ('k', '-'), ('?', '-'), ('n', '-'), ('t', '-'), ('r', 'r'), ('o', 'i'), ('l', '-'), ('-', 'f'), ('?', '?'), ('n', '?'), ('-', 'ð'), ('-', '?'), ('p', 'p'), ('e', 'e'), ('p', 'p'), ('?', '?'), ('r', 'r')]","Missing the /l/ in ""refilling.""",10,t? i p k ? n t r o l ? n p e p ? r,"[11.0, 0.0, 0.0, 74.0, 83.5, 0.0, 109.0, 5.0, 75.0, 0.0, 0.0, 79.0, 75.0, 109.0, 0.0, 0.0, 90.0, 75.0, 84.0, 109.0]","[('t?', 'k'), ('i', 'i'), ('p', 'p'), ('k', '-'), ('?', '-'), ('n', '-'), ('t', '-'), ('r', 'r'), ('o', 'i'), ('l', '-'), ('-', 'f'), ('?', '?'), ('-', 'l'), ('n', '?'), ('-', 'ð'), ('-', '?'), ('p', 'p'), ('e', 'e'), ('p', 'p'), ('?', '?'), ('r', 'r')]",120,cheap control in paper,keep refilling the paper,9,3,6,3,18,0,9,4,6,3,18,0
16,s ? m k æ ? b ? t w ? r d ? g ? n,"[('k', 's'), ('?', '?'), ('n', 'm'), ('f', '-'), ('j', '-'), ('-', 'k'), ('u', 'æ'), ('z', '?'), ('d', '-'), ('b', 'b'), ('?', '?'), ('t', 't'), ('r', '-'), ('-', 'w'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]","Seems like the 'r' in the original alignment may be recognized as a ""Glide?"" and could be aligned to the 'w' instead. I may be wrong in this assumption.",10,k ? n f j u z d b ? t r ? r d ? g ? n,"[10.0, 0.0, 109.0, 14.500000000000004, 63.0, 0.0, 2.0000000000000018, 89.0, 95.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.0, 0.0, 0.0, 0.0, 0.0]","[('k', 's'), ('?', '?'), ('n', 'm'), ('f', '-'), ('j', '-'), ('-', 'k'), ('u', 'æ'), ('z', '?'), ('d', '-'), ('b', 'b'), ('?', '?'), ('t', 't'), ('r', 'w'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",128,confused but roared again,some cash but word again,9,2,4,6,19,0,9,1,3,7,19,0
17,t æ b u ð æ t r ? r ? g ? n,"[('k', 't'), ('?', 'æ'), ('n', '-'), ('f', 'b'), ('j', '-'), ('u', 'u'), ('z', 'ð'), ('d', '-'), ('b', '-'), ('?', 'æ'), ('t', 't'), ('r', 'r'), ('?', '?'), ('r', 'r'), ('d', '-'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",Transcription was missing 's' sound in taboos,7,k ? n f j u z d b ? t r ? r d ? g ? n,"[84.0, 0.0, 109.0, 0.0, 0.0, 0.0, 0.0, 89.0, 95.0, 75.0, 0.0, 0.0, 84.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('k', 't'), ('?', 'æ'), ('n', '-'), ('f', 'b'), ('j', '-'), ('u', 'u'), ('z', 's'), ('d', 'ð'), ('b', '-'), ('?', 'æ'), ('t', 't'), ('r', 'r'), ('?', '?'), ('r', 'r'), ('d', '-'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",136,confused but roared again,taboos that roar again,9,0,5,5,19,0,9,0,4,6,19,0
18,r i f j u z w ? t w ? r d ? g ? n,"[('-', 'r'), ('?', 'i'), ('n', '-'), ('f', 'f'), ('j', 'j'), ('u', 'u'), ('z', 'z'), ('d', '-'), ('b', '-'), ('-', 'w'), ('?', '?'), ('t', 't'), ('r', '-'), ('-', 'w'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",Aligned /b/ and /w/ because /w/ is partially labial? May be wrong but it is listed as a labial-velar approximate so this makes sense. /r/ and /w/ aligned because the liquid was changed to a glide?,9,k ? n f j u z d b ? t r ? r d ? g ? n,"[46.5, 0.0, 109.0, 84.0, 0.0, 0.0, 0.0, 84.0, 75.0, 0.0, 89.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('-', 'r'), ('?', 'i'), ('n', '-'), ('f', 'f'), ('j', 'j'), ('u', 'u'), ('z', 'z'), ('d', '-'), ('b', 'w'), ('?', '?'), ('t', 't'), ('r', 'w'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",144,confused but roared again,refuse what word again,12,3,4,2,18,1,12,1,2,4,18,1
19,h ? r f j ? r i z b ? d r ? r d ? g ? n,"[('-', 'h'), ('?', '?'), ('n', '-'), ('-', 'r'), ('f', 'f'), ('j', 'j'), ('u', '?'), ('-', 'r'), ('-', 'i'), ('z', 'z'), ('d', '-'), ('b', 'b'), ('?', '?'), ('t', 'd'), ('r', 'r'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]","/k/ in ""confused"" was unaccounted for originally",12,k ? n f j u z d b ? t r ? r d ? g ? n,"[46.5, 0.0, 109.0, 80.5, 63.0, 75.0, 84.0, 0.0, 9.500000000000004, 95.0, 0.0, 84.0, 0.0, 0.0, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('k', '-'), ('-', 'h'), ('?', '?'), ('n', '-'), ('-', 'r'), ('f', 'f'), ('j', 'j'), ('u', '?'), ('-', 'r'), ('-', 'i'), ('z', 'z'), ('d', '-'), ('b', 'b'), ('?', '?'), ('t', 'd'), ('r', 'r'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",152,confused but roared again,her furies bid roared again,12,4,2,4,18,1,12,4,3,4,19,0
20,h i r z ð ? r o d ? g ? n,"[('-', 'h'), ('?', 'i'), ('n', '-'), ('f', '-'), ('j', '-'), ('u', '-'), ('-', 'r'), ('z', 'z'), ('d', 'ð'), ('b', '-'), ('?', '?'), ('t', '-'), ('r', 'r'), ('?', 'o'), ('r', '-'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]","/k/ in ""confused"" was unaccounted for originally",9,k ? n f j u z d b ? t r ? r d ? g ? n,"[0.0, 0.0, 3.999999999999999, 63.0, 0.0, 81.5, 0.0, 75.0, 0.0, 0.0, 84.0, 0.0, 75.0, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('k', '-'), ('-', 'h'), ('?', 'i'), ('n', '-'), ('f', '-'), ('j', '-'), ('u', '-'), ('-', 'r'), ('z', 'z'), ('d', 'ð'), ('b', '-'), ('?', '?'), ('t', '-'), ('r', 'r'), ('?', 'o'), ('r', '-'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",160,confused but roared again,heres the road again,7,2,7,4,18,1,7,2,8,4,19,0
21,? n ? u z d b ? t r ? r d ? g ? n,WRONG ALIGNMENT WAS LISTED,WRONG ALIGNMENT WAS LISTED,7,k ? n f j u z d b ? t r ? r d ? g ? n,"[10.0, 0.0, 109.0, 84.0, 75.0, 84.0, 0.0, 0.0, 0.0, 83.5, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('k', '-'), ('?', '?'), ('n', 'n'), ('f', '?'), ('j', '-'), ('u', 'u'), ('z', 'z'), ('d', 'd'), ('b', 'b'), ('?', '?'), ('t', 't'), ('r', 'r'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",168,confused but roared again,enthused but roared again,,,,,,,15,0,2,2,19,0
22,? ? w ? d b ? ? ? s æ n d ? l,"[('?', '?'), ('n', '-'), ('-', '?'), ('w', 'w'), ('?', '?'), ('?', 'd'), ('f', 'b'), ('?', '?'), ('?', '?'), ('n', '-'), ('?', '?'), ('s', 's'), ('t', '-'), ('h', '-'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('l', 'l')]","Missing the /d/ in ""done.""",1,d ? n w ? ? f ? ? n ? s t h æ n d ? l,"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('d', '-') ('?', '?'), ('n', '-'), ('-', '?'), ('w', 'w'), ('?', '?'), ('?', 'd'), ('f', 'b'), ('?', '?'), ('?', '?'), ('n', '-'), ('?', '?'), ('s', 's'), ('t', '-'), ('h', '-'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('l', 'l')]",176,done with finest handle,i would buy a sandal,9,1,4,5,18,0,,,,,,
23,d? ? n w ? l s ? ? n ð ? s t u h æ n d ? l,"[('d', 'd?'), ('?', '?'), ('n', 'n'), ('w', 'w'), ('?', '?'), ('-', 'l'), ('?', 's'), ('f', '-'), ('?', '?'), ('?', '?'), ('n', 'n'), ('-', 'ð'), ('?', '?'), ('s', 's'), ('t', 't'), ('-', 'u'), ('h', 'h'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('l', 'l')]",Original alignment makes sense but I think the /s/ would be better aligned with another fricative /f/ as suggested.,5,d ? n w ? ? f ? ? n ? s t h æ n d ? l,"[75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.999999999999999, 0.0, 79.0, 0.0, 0.0, 76.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('d', 'd?'), ('?', '?'), ('n', 'n'), ('w', 'w'), ('?', '?'), ('-', 'l'), ('?', '-'), ('f', 's'), ('?', '?'), ('?', '?'), ('n', 'n'), ('-', 'ð'), ('?', '?'), ('s', 's'), ('t', 't'), ('-', 'u'), ('h', 'h'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('l', 'l')]",184,done with finest handle,john will sign this to handle,14,3,1,4,19,0,14,3,1,4,19,0
24,b ? r g ? r t e k ? r ? i t,"[('b', 'b'), ('?', '?'), ('r', 'r'), ('k', 'g'), ('?', '?'), ('r', 'r'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', '-'), ('?', '?'), ('r', 'r'), ('?', '?'), ('i', 'i'), ('t', 't')]",Missing the /?/ and /m/ in the original alignment.,7,? m b ? r k ? r t e k h ? r ? i t,"[0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 46.5, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '-'), ('m', '-'), ('b', 'b'), ('?', '?'), ('r', 'r'), ('k', 'g'), ('?', '?'), ('r', 'r'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', '-'), ('?', '?'), ('r', 'r'), ('?', '?'), ('i', 'i'), ('t', 't')]",192,embark or take her sheet,burger taker sheet,10,0,1,4,15,0,10,0,3,4,17,1
